depo_kod;urun_kod;stok
9001;1009915;1345
9001;1010135;126
9001;1010142;21560
9001;1010208;3
9001;1010262;30431
9001;1010297;2070
9001;1010335;1559
9001;1010336;396
9001;1010788;29
9001;1010912;201
9001;1010931;48
9001;1010992;38
9001;1010993;61
9001;1010994;927
9001;1010995;1035
9001;1011090;3
9001;1011303;144
9001;1011351;1855
9001;1011352;5
9001;1011353;3252
9001;1011354;394
9001;1011409;17
9001;1011418;1
9001;1011423;1
9001;1011446;1
9001;1011470;576
9001;1011481;200
9001;1011483;201
9001;1011486;200
9001;1011492;204
9001;1011493;204
9001;1011497;288
9001;1011500;204
9001;1011505;218
9001;1011561;3
9001;1011585;4355
9001;1011752;491
9001;1011761;21
9001;1011800;1
9001;1011805;1
9001;1011817;1399
9001;1011834;1
9001;1011957;1
9001;1011981;15
9001;1011982;187
9001;1011983;248
9001;1011984;234
9001;1011985;191
9001;1011987;183
9001;1011988;170
9001;1011990;199
9001;1011991;254
9001;1011992;15
9001;1011993;95
9001;1011994;110
9001;1012004;534
9001;1012024;210
9001;1012026;3071
9001;1012161;240
9001;1012163;801
9001;1012167;91
9001;1012169;635
9001;1012171;48
9001;1012176;127
9001;1012190;22
9001;1012198;319
9001;1012205;70
9001;1012222;576
9001;1012223;14
9001;1012233;709
9001;1012234;812
9001;1012309;42
9001;1012330;1
9001;1012336;1
9001;1012348;27
9001;1012351;308
9001;1012377;227
9001;1012401;770
9001;1012403;11
9001;1012459;173
9001;1012888;451
9001;1012894;44
9001;1012906;165
9001;1012978;575
9001;1013006;30
9001;1013268;1300
9001;1013301;17
9001;1013384;250
9001;1013389;18
9001;1013413;12
9001;1013425;41
9001;1013436;1
9001;1013541;848
9001;1013543;3846
9001;1013547;4440
9001;1013549;3274
9001;1013556;1398
9001;1013557;850
9001;1013597;981
9001;1013598;11
9001;1013599;1157
9001;1013621;916
9001;1013727;67
9001;1013728;3
9001;1013731;5
9001;1013754;6
9001;1013786;600
9001;1013794;36
9001;1013796;5
9001;1013797;2
9001;1013803;1
9001;1013869;662
9001;1013870;4175
9001;1013906;288
9001;1013921;2287
9001;1013922;4181
9001;1013923;2800
9001;1013989;329
9001;1013994;24
9001;1014002;1
9001;1014181;17
9001;1014188;469
9001;1014190;1009
9001;1014191;519
9001;1014193;711
9001;1014194;81
9001;1014195;971
9001;1014219;2
9001;1014299;9
9001;1014313;5
9001;1014326;5
9001;1014403;935
9001;1014522;144
9001;1014523;53
9001;1014558;113
9001;1014560;197
9001;1014594;16
9001;1014597;14
9001;1014599;3
9001;1014600;24
9001;1014601;18
9001;1014605;3
9001;1014629;1645
9001;1014632;1
9001;1014638;1
9001;1014641;212
9001;1014646;2410
9001;1014651;49
9001;1014652;6
9001;1014770;32
9001;1015024;210
9001;1015074;289
9001;1015076;521
9001;1015095;200
9001;1015343;217
9001;1015382;216
9001;1015474;3
9001;1015585;1
9001;1015587;5
9001;1015629;2
9001;1015899;261
9001;1015943;13
9001;1015944;63
9001;1015975;3
9001;1016004;2
9001;1016007;5
9001;1016012;17
9001;1016077;1
9001;1016322;1
9001;1016411;384
9001;1016412;26
9001;1016413;265
9001;1016414;3
9001;1016415;419
9001;1016416;186
9001;1016417;340
9001;1016449;898
9001;1016451;1
9001;1016452;130
9001;1016453;206
9001;1016465;55
9001;1016466;6
9001;1016467;2
9001;1016592;34
9001;1016594;264
9001;1016795;3
9001;1016796;14
9001;1016799;13
9001;1016812;1606
9001;1016813;1519
9001;1016855;3
9001;1016871;1
9001;1016896;11
9001;1016901;120
9001;1016924;133
9001;1016947;118
9001;1016949;417
9001;1016950;74
9001;1016952;181
9001;1016953;394
9001;1016984;3
9001;1017020;90
9001;1017034;53
9001;1017096;1
9001;1017117;1583
9001;1017119;55
9001;1017126;7
9001;1017147;316
9001;1017148;10
9001;1017193;189
9001;1017194;106
9001;1017372;22
9001;1017404;7
9001;1017405;1
9001;1017442;259
9001;1017444;25
9001;1017461;180
9001;1017466;35
9001;1017467;2
9001;1017468;77
9001;1017469;173
9001;1017470;118
9001;1017479;3
9001;1017481;16
9001;1017732;1155
9001;1017735;244
9001;1017777;144
9001;1017783;1
9001;1017814;251
9001;1017815;133
9001;1017825;4
9001;1017836;228
9001;1017838;247
9001;1017843;249
9001;1017877;986
9001;1017902;216
9001;1017910;29
9001;1017919;9
9001;1017920;3
9001;1017928;1
9001;1017959;2
9001;1017961;6
9001;1017986;5
9001;1017988;5
9001;1017990;5
9001;1017993;5
9001;1017995;77
9001;1017998;301
9001;1017999;181
9001;1018003;144
9001;1018006;1
9001;1018033;688
9001;1018035;454
9001;1018036;420
9001;1018037;549
9001;1018038;307
9001;1018174;1301
9001;1018175;3497
9001;1018177;313
9001;1018178;1197
9001;1018192;329
9001;1018232;179
9001;1018233;523
9001;1018340;23
9001;1018377;8
9001;1018403;301
9001;1018409;41
9001;1018410;161
9001;1018411;603
9001;1018471;2145
9001;1018480;389
9001;1018483;80
9001;1018485;670
9001;1018486;2662
9001;1018487;2826
9001;1018528;1
9001;1018529;7
9001;1018530;6
9001;1018542;6
9001;1018559;76
9001;1018561;432
9001;1018567;165
9001;1018570;199
9001;1018572;198
9001;1018573;201
9001;1018575;170
9001;1018581;199
9001;1018589;200
9001;1018608;118100
9001;1018616;572
9001;1018617;550
9001;1018618;457
9001;1018644;1518
9001;1018647;7
9001;1018651;272
9001;1018659;17
9001;1018729;13
9001;1018760;3
9001;1018762;2
9001;1018797;2
9001;1018912;638
9001;1018913;644
9001;1018915;575
9001;1018931;487
9001;1018937;769
9001;1018941;624
9001;1018964;611
9001;1018966;319
9001;1018968;139
9001;1018972;376
9001;1019036;1
9001;1019079;259
9001;1019080;8
9001;1019081;12
9001;1019085;2
9001;1019091;1
9001;1019093;2
9001;1019094;2
9001;1019096;5
9001;1019098;2
9001;1019100;2
9001;1019102;21
9001;1019115;82
9001;1019116;87
9001;1019117;2848
9001;1019146;77
9001;1019172;2
9001;1019175;5
9001;1019204;14
9001;1019206;4952
9001;1019303;74
9001;1019351;598
9001;1019352;400
9001;1019353;1133
9001;1019354;959
9001;1019357;9
9001;1019365;128
9001;1019366;1189
9001;1019441;367
9001;1019444;117
9001;1019445;233
9001;1019456;266
9001;1019467;2132
9001;1019468;903
9001;1019471;4558
9001;1019473;330
9001;1019486;29
9001;1019492;38
9001;1019497;78
9001;1019501;5
9001;1019502;9
9001;1019503;23
9001;1019561;5
9001;1019564;324
9001;1019787;623
9001;1019788;373
9001;1019801;8
9001;1019808;474
9001;1019844;6
9001;1019883;6
9001;1019895;302
9001;1019990;99
9001;1020068;41
9001;1020141;1
9001;1020173;11
9001;1020230;362
9001;1020231;432
9001;1020233;360
9001;1020241;9
9001;1020246;11
9001;1020247;438
9001;1020248;288
9001;1020249;432
9001;1020273;55910
9001;1020274;496
9001;1020275;511
9001;1020292;11
9001;1020300;61000
9001;1020310;13
9001;1020311;146
9001;1020314;418
9001;1020315;19
9001;1020435;442
9001;1020440;5
9001;1020441;25
9001;1020442;145
9001;1020486;4
9001;1020487;4
9001;1020491;6
9001;1020501;194
9001;1020516;6
9001;1020518;1683
9001;1020640;13
9001;1020647;18
9001;1020670;117
9001;1020678;20
9001;1020679;59
9001;1020685;145
9001;1020687;145
9001;1020688;145
9001;1020693;17
9001;1020708;6
9001;1020709;2
9001;1020720;1683
9001;1020721;1855
9001;1020730;279
