mg_id;min_deger;max_deger;forward_cover
160525;3;20;4
160526;3;20;4
160587;3;20;4
160588;3;20;4
160591;3;20;4
160596;3;20;4
160601;3;20;4
160605;3;20;4
160701;6;20;4
170101;4;20;4
170102;6;20;4
170103;6;20;4
170104;4;20;4
170105;4;20;4
170106;4;20;4
170107;4;20;4
170198;4;20;4
170201;2;20;4
170202;2;20;4
170203;2;20;4
170204;2;20;4
170207;2;20;4
170295;2;20;4
170296;2;20;4
170297;2;20;4
170298;2;20;4
170299;2;20;4
170401;2;20;4
170499;2;20;4
180101;2;20;2
180201;2;20;2
180202;2;20;2
180203;2;20;2
180301;2;20;2
180302;2;20;2
180303;2;20;2
180304;2;20;2
180305;2;20;2
180306;2;20;2
180307;2;20;2
180308;2;20;2
180309;2;20;2
180310;2;20;2
180311;2;20;2
180312;2;20;2
180313;2;20;2
180314;2;20;2
190501;2;20;2
190502;2;20;2
190503;2;20;2
190504;2;20;2
190505;2;20;2
190506;2;20;2
190507;2;20;2
190801;2;20;2
190901;2;20;2
190902;2;20;2
191001;2;20;2
191002;2;20;2
191004;2;20;2
191005;2;20;2
191006;2;20;2
191401;2;20;2
191402;2;20;2
191403;2;20;2
191404;2;20;2
191405;2;20;2
191801;2;20;2
191802;2;20;2
191803;2;20;2
200101;6;20;4
200202;3;20;4
200203;3;20;4
200204;3;20;4
200205;3;20;4
200207;3;20;4
200208;3;20;4
200209;3;20;4
200210;3;20;4
200211;3;20;4
200212;3;20;4
200213;3;20;4
200214;3;20;4
200215;3;20;4
200217;3;20;4
200218;3;20;4
200219;3;20;4
200220;3;20;4
200221;3;20;4
200301;3;20;4
200501;3;20;4
200502;3;20;4
200503;3;20;4
200601;24;50;4
200602;24;50;4
200603;12;50;4
200604;12;50;4
200801;3;20;4
200803;3;20;4
200804;3;20;4
200805;3;20;4
200806;3;20;4
210101;6;20;6
210102;3;20;6
210103;3;20;6
210197;3;20;6
210198;3;20;6
210199;3;20;6
210201;4;20;6
210202;6;20;6
210203;4;20;6
210204;4;20;6
210205;6;20;6
210206;4;20;6
210207;2;20;6
210208;3;20;6
210209;4;20;6
210295;4;20;6
210296;4;20;6
210297;4;20;6
210298;4;20;6
210299;4;20;6
210301;6;20;6
210302;3;20;6
210398;3;20;6
210401;3;20;6
210402;3;20;6
210403;3;20;6
210404;3;20;6
210405;3;20;6
210406;3;20;6
210407;3;20;6
210408;3;20;6
210495;3;20;6
210496;3;20;6
210497;3;20;6
210498;3;20;6
210499;3;20;6
220101;3;20;4
220102;3;20;4
220201;3;20;4
220202;3;20;4
220203;3;20;4
220204;3;20;4
220205;3;20;4
220206;3;20;4
220207;3;20;4
220208;3;20;4
220209;3;20;4
220301;3;20;4
220302;3;20;4
220303;3;20;4
220304;3;20;4
220305;3;20;4
220306;3;20;4
220307;3;20;4
220401;3;20;4
220403;3;20;4
220404;3;20;4
220501;4;20;4
220502;4;20;4
220503;4;20;4
220504;4;20;4
220505;4;20;4
220601;4;20;4
220602;4;20;4
220603;4;20;4
220604;4;20;4
220605;4;20;4
230201;6;20;4
230202;6;20;4
230203;3;20;4
230204;3;20;4
230401;2;20;4
230501;2;20;4
230601;2;20;4
230701;2;20;4
230902;2;20;4
230903;2;20;4
231101;2;20;4
231102;2;20;4
231104;2;20;4
240101;2;20;2
240102;2;20;2
240103;2;20;2
240104;2;20;2
240301;2;20;2
240302;2;20;2
240303;2;20;2
240501;2;20;2
240502;2;20;2
240505;2;20;2
240601;2;20;2
240602;2;20;2
240701;2;20;2
240702;2;20;2
240703;2;20;2
240704;2;20;2
240705;2;20;2
240706;2;20;2
240707;2;20;2
240708;2;20;2
240711;2;20;2
240712;2;20;2
240713;2;20;2
240715;2;20;2
240716;2;20;2
